,absences,health,Medu,Mjob,goout,age,Walc,freetime,reason,famrel
229,10,3,2,4,3,17,2,2,0,3
230,14,3,4,1,3,17,2,2,2,3
231,4,1,2,4,2,17,1,5,0,4
232,14,2,4,0,5,17,3,5,2,4
233,2,1,4,1,4,16,4,2,2,4
234,18,5,1,4,2,16,1,4,1,3
235,10,2,3,3,3,16,3,3,2,5
236,4,4,2,4,2,17,5,4,1,4
237,20,5,2,4,2,16,1,5,1,4
238,2,3,2,3,1,17,1,1,0,2
239,0,2,2,4,4,18,5,5,2,5
240,14,5,4,1,5,17,4,5,0,2
241,2,4,4,0,3,17,3,3,0,3
242,0,3,4,0,5,16,1,4,0,5
243,0,5,4,2,2,16,2,3,0,5
244,0,3,2,4,4,18,1,4,0,4
245,6,4,2,4,3,16,1,3,0,4
246,4,2,2,4,2,17,1,2,0,5
247,16,1,3,2,5,22,5,4,3,5
248,8,5,3,4,3,18,3,3,0,4
249,0,5,0,4,2,16,4,3,3,4
250,0,5,3,2,5,18,4,4,0,4
251,6,2,3,3,3,16,3,3,2,5
252,4,5,2,2,5,18,5,2,3,3
253,0,3,2,4,2,16,3,3,0,3
254,0,5,2,4,2,17,4,4,0,4
255,2,5,1,1,4,17,2,4,0,4
256,6,4,4,0,3,17,1,2,2,4
257,12,1,4,2,1,19,1,3,2,4
258,8,4,2,4,4,18,2,2,1,5
259,0,2,2,2,1,17,1,4,0,3
260,21,2,4,2,2,18,3,1,1,3
261,2,3,4,0,2,18,1,3,0,4
262,1,3,3,4,2,18,1,3,0,5
263,4,4,3,4,3,17,1,2,1,3
264,0,3,2,3,3,18,1,3,1,4
265,13,1,3,4,5,18,4,2,2,4
266,2,5,3,2,4,17,4,4,3,5
267,8,4,4,0,4,18,2,3,2,4
268,10,5,4,1,5,18,3,4,2,5
269,0,3,2,4,5,18,2,3,2,4
270,15,5,3,4,5,19,3,3,1,4
271,4,2,2,4,5,18,3,5,2,4
272,2,3,1,4,3,18,1,4,1,4
273,2,1,1,3,2,17,2,5,1,3
274,2,1,2,3,3,17,1,3,2,4
275,6,5,2,2,4,17,3,4,0,4
276,75,5,3,4,1,18,1,1,1,4
277,22,3,4,0,4,18,4,2,1,3
278,15,4,4,1,4,18,1,4,2,2
279,8,1,4,0,3,18,2,2,0,4
280,30,5,4,2,4,17,4,5,1,4
281,19,3,3,0,4,17,4,4,1,4
282,1,3,1,3,2,18,1,2,2,5
283,4,4,1,4,4,18,1,4,1,5
284,4,5,2,4,5,17,2,4,0,5
285,2,4,1,4,3,17,2,3,2,4
286,5,2,2,3,3,18,2,3,3,4
287,6,3,1,2,3,17,1,3,2,4
288,6,2,2,2,4,18,3,2,2,4
289,9,2,4,0,3,18,1,4,2,5
290,11,5,4,0,2,18,4,3,1,4
291,0,3,4,1,2,17,2,2,2,4
292,12,5,2,2,3,18,1,4,2,5
293,6,3,3,2,2,17,1,1,2,3
294,8,4,3,2,2,18,1,4,2,5
295,4,5,3,1,3,17,3,4,1,4
296,0,2,4,1,4,19,3,3,2,2
297,10,2,4,4,5,18,2,4,1,4
298,0,3,4,4,3,18,1,3,2,4
299,5,1,4,0,2,18,2,4,1,1
300,14,4,4,1,4,18,1,2,1,4
301,0,5,4,4,1,17,2,1,1,4
302,0,3,4,4,3,17,1,3,2,4
303,0,5,3,1,2,17,2,2,2,5
304,20,3,3,4,4,19,1,4,1,4
305,8,3,2,2,3,18,1,4,2,4
306,0,5,3,2,3,20,1,5,0,5
307,38,4,4,0,4,19,1,3,2,4
308,0,5,3,4,3,19,2,5,2,4
309,18,3,1,3,3,19,3,4,2,4
310,0,3,1,2,4,19,2,2,1,4
311,20,2,2,3,1,19,1,4,3,3
312,3,4,1,4,2,19,2,5,0,4
313,22,1,3,2,2,19,2,2,2,4
314,14,3,1,3,2,19,1,1,1,4
315,40,3,2,4,2,19,1,1,2,4
316,0,1,2,2,3,18,2,3,0,5
317,9,5,4,4,4,18,1,3,0,4
318,0,5,3,3,4,17,5,3,0,4
319,2,5,4,0,4,18,3,4,0,4
320,23,5,4,2,2,17,2,2,0,5
321,12,3,2,4,2,17,1,2,0,4
322,3,3,2,2,2,17,2,3,0,3
323,1,5,3,2,3,17,3,4,0,3
324,0,2,0,3,3,17,3,3,1,3
325,3,3,4,4,3,18,2,3,0,4
326,3,5,3,4,5,17,5,3,2,4
327,8,4,2,2,5,17,5,4,0,4
328,7,4,4,0,4,17,3,4,0,5
329,4,4,4,0,3,17,2,3,0,4
330,2,5,2,4,5,18,4,5,0,4
331,7,5,2,3,3,17,1,4,0,4
332,0,4,3,2,4,18,1,3,1,5
333,0,2,2,4,3,18,1,3,1,4
334,0,4,2,3,4,18,1,4,0,4
335,16,5,3,2,5,17,3,4,0,4
336,12,5,3,2,3,19,2,4,1,5
337,0,2,3,4,2,17,3,3,1,4
338,7,1,3,2,3,18,1,3,1,5
339,4,2,3,4,3,17,3,3,1,4
340,4,3,2,2,4,19,3,3,1,4
341,0,2,4,0,3,18,2,3,1,4
342,11,5,3,2,3,18,3,3,1,4
343,0,4,2,3,1,17,2,3,1,3
344,4,3,2,3,3,18,2,3,0,4
345,7,1,3,4,3,18,3,4,3,5
346,9,4,4,0,2,18,2,3,0,5
347,0,5,4,0,5,18,3,4,0,5
348,0,4,4,1,3,17,3,4,2,4
349,10,5,3,4,5,18,5,5,0,2
350,8,2,1,4,4,19,3,4,1,5
351,2,3,3,1,4,17,3,5,0,4
352,7,3,1,3,3,18,3,3,0,4
353,4,5,1,4,4,19,3,4,1,4
354,4,2,4,2,5,17,3,5,1,4
355,0,5,3,2,4,18,1,3,0,5
356,4,5,4,0,3,17,2,3,3,4
357,2,5,3,2,3,17,2,2,2,1
358,4,3,1,4,2,18,2,3,1,3
359,0,4,1,3,2,18,1,3,0,5
360,0,5,1,3,4,18,4,3,0,4
361,2,5,1,3,3,18,3,4,3,4
362,0,3,3,2,2,18,3,3,3,4
363,0,1,4,3,4,17,1,3,0,2
364,0,3,1,4,2,17,2,2,0,3
365,4,3,1,3,4,18,4,3,0,3
366,0,5,4,0,2,18,2,2,3,4
367,0,1,1,4,1,17,2,2,2,5
368,0,4,2,3,3,18,2,2,0,5
369,10,5,4,4,2,18,2,2,3,3
370,4,3,3,2,2,19,1,2,1,3
371,3,3,1,3,3,18,3,3,3,4
372,8,3,2,4,3,17,1,4,1,3
373,14,1,1,4,5,17,3,5,0,3
374,0,1,4,4,4,18,1,4,2,5
375,2,4,1,4,2,18,2,3,1,4
376,4,3,4,1,3,20,1,4,0,5
377,4,2,4,0,3,18,4,4,0,5
378,0,1,3,4,3,18,2,1,1,4
379,17,1,3,3,4,17,3,5,2,4
380,4,2,4,0,4,18,4,2,1,3
381,5,5,2,4,3,18,3,4,3,4
382,2,3,2,4,3,17,1,4,1,4
383,0,5,1,4,2,19,3,3,3,4
384,14,3,4,4,3,18,3,4,1,5
385,2,4,2,3,3,18,3,3,3,5
386,7,5,4,0,3,18,2,4,2,4
387,0,5,2,2,2,19,2,4,0,5
388,0,1,3,0,4,18,1,3,0,4
389,0,5,1,4,1,18,1,1,0,1
390,11,4,2,2,4,20,5,5,0,5
391,3,2,3,2,5,17,4,4,0,2
392,3,3,1,4,3,21,3,5,0,5
393,0,5,3,2,1,18,4,4,0,4
394,5,5,1,4,3,19,3,2,0,3
