,studytime,failures,Medu,higher,absences,age,health,Walc,goout,Fedu
67,4,0,3,1,0,16,5,2,3,1
68,2,0,2,1,0,15,4,3,3,2
69,4,0,3,1,6,15,3,3,2,1
70,4,0,3,1,2,16,5,1,2,1
71,4,0,4,1,0,15,3,1,3,2
72,2,0,1,1,2,15,5,4,4,1
73,1,0,3,1,0,16,5,2,2,1
74,2,0,3,1,4,16,5,4,3,3
75,2,0,4,1,0,15,5,3,3,3
76,4,0,4,1,0,15,1,1,3,0
77,4,0,2,1,1,16,3,3,3,2
78,1,3,2,0,0,17,3,1,1,1
79,2,0,3,1,14,16,3,2,3,4
80,1,0,2,1,0,15,3,3,2,3
81,3,0,2,1,2,15,5,2,2,3
82,2,0,3,1,4,15,5,1,4,2
83,2,0,2,1,2,15,4,3,3,2
84,2,0,1,1,2,15,4,3,2,1
85,2,0,4,1,4,15,5,3,4,4
86,2,0,2,1,6,16,2,2,4,2
87,3,0,4,1,4,15,1,3,3,2
88,2,0,2,1,6,16,3,1,2,2
89,2,0,4,1,6,16,5,5,3,4
90,3,0,3,1,2,16,4,3,3,3
91,1,0,4,1,6,15,1,3,5,3
92,2,0,3,1,0,16,2,3,3,1
93,2,0,4,1,2,16,1,1,3,2
94,4,0,2,1,2,15,4,1,4,2
95,4,0,1,1,4,15,1,1,2,1
96,1,0,4,1,6,16,4,1,3,3
97,2,0,2,1,0,16,5,1,5,1
98,1,0,4,1,4,16,1,2,4,4
99,3,0,4,1,2,16,3,1,5,3
100,1,0,4,1,12,16,4,5,5,4
101,3,0,4,1,0,16,4,1,3,4
102,1,0,4,1,2,15,5,1,3,4
103,2,0,3,1,16,15,2,1,5,2
104,2,0,3,1,0,15,1,1,4,4
105,4,0,3,1,10,15,4,1,3,3
106,4,0,2,1,4,15,3,1,2,2
107,3,0,3,1,4,16,5,1,3,3
108,4,0,4,1,8,15,1,5,5,4
109,3,0,4,1,2,16,4,1,5,4
110,1,0,4,1,4,15,4,1,3,4
111,3,0,3,1,4,16,2,1,2,3
112,2,1,2,1,12,16,5,1,2,2
113,1,0,4,1,10,15,3,1,2,2
114,2,0,2,1,4,15,5,1,2,1
115,2,0,4,1,6,16,5,2,4,4
116,2,0,4,1,4,15,2,1,3,4
117,1,0,3,1,6,16,5,1,2,3
118,2,1,1,1,14,17,5,4,4,3
119,1,0,3,1,2,15,4,2,3,4
120,2,0,1,1,0,15,1,2,3,2
121,4,0,2,1,6,15,5,2,4,2
122,2,0,2,1,2,16,5,2,2,4
123,1,0,4,1,4,16,5,4,4,4
124,2,0,2,1,0,16,5,1,4,2
125,1,0,3,1,2,15,5,2,5,4
126,2,0,3,1,0,15,1,1,2,4
127,2,2,0,0,0,19,5,1,2,1
128,1,0,4,1,8,16,4,5,5,4
129,3,0,2,1,4,16,1,2,3,3
130,3,0,3,1,0,15,5,2,2,4
131,2,3,2,0,10,18,5,3,5,1
132,1,0,2,1,8,17,5,2,2,1
133,1,0,1,1,6,15,4,2,3,1
134,1,0,2,1,2,17,5,3,4,2
135,1,0,3,1,12,16,5,4,1,4
136,1,0,2,1,4,16,2,1,1,1
137,1,1,2,1,12,16,5,1,4,2
138,2,0,3,1,2,15,5,1,3,4
139,3,0,4,1,4,15,5,1,3,4
140,2,0,3,1,2,17,5,4,5,4
141,2,0,1,1,0,16,3,1,3,1
142,1,0,3,1,2,18,4,5,4,1
143,3,0,3,1,10,18,5,1,3,2
144,1,0,1,1,8,16,1,2,3,1
145,1,0,3,1,4,16,5,1,2,3
146,2,2,1,1,0,16,5,3,4,1
147,1,0,4,1,6,15,5,1,2,4
148,1,1,1,1,2,15,1,1,5,1
149,4,0,4,1,6,15,3,1,2,3
150,2,0,3,1,24,15,1,3,2,3
151,3,0,4,1,0,16,5,3,3,4
152,1,0,2,1,4,16,2,2,3,2
153,3,0,4,1,2,15,5,1,2,4
154,1,0,1,1,4,16,1,3,4,1
155,1,0,2,1,22,17,5,2,5,1
156,2,0,1,1,0,15,5,2,2,1
157,1,0,2,0,0,15,5,1,2,1
158,2,1,3,1,2,15,3,1,2,2
159,2,0,1,1,6,15,5,1,2,2
160,2,0,1,1,6,15,1,4,4,2
161,1,0,4,0,16,16,5,1,2,4
162,1,0,2,1,0,15,5,5,5,1
163,1,2,1,0,0,18,4,5,5,1
164,1,1,2,1,6,16,5,5,4,1
165,3,0,3,1,2,15,3,3,1,3
166,1,0,3,0,6,19,4,1,4,2
167,1,0,4,1,0,17,4,1,1,4
168,2,0,2,1,0,15,1,1,4,3
169,1,3,1,1,14,17,5,3,2,2
170,1,3,1,1,6,18,4,5,5,1
171,1,0,2,1,4,16,3,2,2,2
172,2,1,3,1,0,16,5,4,5,3
173,1,2,1,1,0,16,5,5,5,2
174,1,1,2,0,8,17,5,2,2,1
175,2,2,3,1,4,17,3,4,4,2
176,1,0,1,1,2,15,5,4,4,2
177,1,1,1,0,2,16,2,4,3,3
178,2,0,1,0,0,17,5,5,5,1
179,1,3,3,0,10,17,2,1,2,2
180,2,0,2,0,0,16,4,4,5,2
181,2,0,4,1,0,16,3,1,3,2
182,2,0,2,1,0,16,4,1,5,2
183,2,0,4,1,0,16,3,1,2,4
184,1,1,3,1,4,16,2,4,5,4
185,2,0,1,1,0,16,3,1,2,0
186,2,0,4,1,0,17,5,3,4,4
187,2,0,1,1,0,16,3,1,5,3
188,2,0,3,1,0,16,4,1,5,3
189,2,0,4,1,0,17,4,4,4,3
190,2,0,2,1,0,16,5,4,4,2
191,2,0,3,1,4,17,4,4,4,3
192,1,0,4,1,8,16,3,4,3,2
193,2,0,4,1,4,17,2,1,3,3
194,2,0,4,1,4,16,3,3,3,3
195,2,0,3,1,0,16,3,2,3,3
196,2,0,2,1,0,17,5,3,2,4
197,2,0,3,1,32,17,1,3,3,3
198,2,0,3,1,8,16,1,2,2,2
199,2,0,3,1,6,17,4,3,4,3
200,1,0,1,1,0,16,3,2,3,2
201,2,0,2,1,0,16,5,2,3,1
202,2,0,3,1,10,17,3,3,3,3
203,2,0,1,1,6,17,3,5,3,2
204,2,0,2,1,6,16,2,1,3,3
205,2,0,1,1,0,17,3,1,3,1
206,2,0,1,1,16,17,5,5,4,2
207,1,0,3,1,0,16,5,4,2,3
208,1,0,2,1,0,16,3,1,3,3
209,2,0,2,1,8,17,5,1,2,4
210,1,0,4,1,4,17,5,2,3,4
211,1,0,3,1,16,16,3,5,4,3
212,1,1,4,1,30,17,2,3,4,4
213,2,0,4,1,0,16,3,2,2,4
214,2,0,4,1,2,16,2,5,5,3
215,2,0,2,1,4,16,4,3,3,3
216,2,0,1,1,0,17,1,3,4,1
217,1,0,2,1,21,17,3,2,2,2
218,4,0,2,1,6,16,5,1,5,2
219,3,1,3,1,14,17,5,4,3,4
220,2,0,3,1,2,16,4,2,3,1
221,2,0,4,1,4,16,1,1,2,3
222,1,0,1,1,2,16,5,4,2,1
223,3,0,4,1,0,17,4,1,2,3
224,4,0,3,1,4,19,3,2,3,3
225,2,0,4,1,15,17,3,5,5,4
226,2,0,2,1,0,16,4,1,4,2
227,2,0,2,1,10,18,5,4,4,2
228,1,0,4,1,6,17,3,2,1,4
229,2,0,3,1,2,17,1,3,4,2
230,2,0,4,1,16,17,1,4,5,3
231,2,0,3,1,10,18,4,4,4,3
232,1,0,2,1,4,17,3,4,3,3
233,3,0,2,1,0,17,4,1,3,2
234,2,0,2,1,0,17,5,2,5,1
235,3,0,1,1,12,17,5,1,4,1
236,2,0,2,1,0,16,3,1,1,3
237,2,3,2,1,9,18,4,5,3,2
238,3,0,4,1,4,16,5,1,2,4
239,2,0,3,1,4,18,4,1,3,1
240,2,0,3,1,2,17,3,3,4,2
241,2,0,2,1,0,17,3,3,3,3
242,2,0,2,1,2,18,3,5,2,1
243,3,0,2,1,0,17,3,2,3,1
244,2,0,4,1,0,17,3,2,3,3
245,2,0,2,1,0,17,1,1,2,2
246,2,0,4,1,0,17,2,3,5,4
247,2,0,4,1,0,16,1,4,4,4
248,2,0,1,1,2,16,5,1,2,1
249,3,0,3,1,0,16,2,3,3,2
250,2,0,2,1,0,17,4,5,2,2
251,1,0,2,1,4,16,5,1,2,1
252,2,0,4,1,0,16,5,2,3,1
253,2,1,2,1,18,18,3,1,3,4
254,2,1,2,1,16,18,5,1,1,2
255,1,1,3,0,14,18,3,1,1,3
256,1,1,2,0,26,18,1,2,3,2
257,1,0,4,1,6,17,5,2,1,4
258,2,0,3,1,4,17,3,1,2,2
259,3,0,1,1,10,17,4,2,2,1
260,1,0,1,0,4,16,5,2,5,2
261,2,0,2,1,2,17,3,1,1,1
262,1,1,1,1,14,17,5,1,4,4
263,2,0,2,0,16,18,2,5,4,2
264,1,1,2,0,8,17,1,1,2,2
265,3,0,1,1,4,17,5,3,3,1
266,2,0,4,1,4,17,4,1,2,2
267,2,0,4,1,8,17,5,4,5,3
268,2,0,4,1,0,17,4,3,3,4
269,1,0,4,1,7,16,3,1,5,3
270,1,0,4,1,4,16,5,2,2,4
271,2,0,4,1,2,17,5,4,1,4
272,3,0,1,1,2,17,1,1,3,1
273,3,0,3,1,10,17,5,3,2,3
274,2,0,1,1,10,17,4,1,2,1
275,3,0,2,1,10,18,3,1,4,1
276,1,0,2,1,7,16,4,1,3,1
277,2,0,1,1,4,17,5,2,4,1
278,1,0,2,1,2,17,2,1,2,3
279,1,3,3,0,12,22,1,5,5,1
280,2,0,3,1,8,18,5,3,3,3
281,1,0,0,1,0,16,5,4,2,2
282,1,0,3,0,8,18,5,4,5,2
283,2,1,3,1,4,16,2,3,3,3
284,1,2,2,0,4,18,5,5,5,1
285,1,0,2,1,2,16,3,3,2,1
286,1,0,2,1,0,17,5,4,2,1
287,1,1,1,1,0,17,5,2,4,1
288,2,0,2,1,2,18,5,3,4,1
289,4,0,4,1,2,17,4,1,3,2
290,2,0,2,1,0,19,5,1,3,2
291,2,1,2,0,4,18,5,4,5,1
292,3,0,4,1,2,17,5,3,4,2
293,3,0,1,1,4,18,3,3,3,1
294,2,0,2,1,4,18,5,1,3,2
295,2,0,4,1,4,19,1,1,1,3
296,2,0,2,1,2,18,4,2,4,1
297,1,0,2,0,0,17,4,1,2,2
298,4,0,2,1,2,17,2,1,1,2
299,2,0,2,0,8,20,2,2,3,1
300,2,0,4,1,2,18,2,3,2,3
301,2,0,4,1,2,18,3,1,2,3
302,3,0,3,1,2,18,3,1,2,2
303,3,0,3,1,2,17,4,1,3,3
304,3,0,2,1,0,18,3,1,3,2
305,1,0,2,0,8,17,4,3,4,2
306,2,0,3,1,6,18,1,4,5,4
307,2,0,3,1,0,17,5,4,4,1
308,2,0,4,1,8,18,4,2,4,4
309,2,0,4,1,4,18,5,3,5,2
310,2,0,2,0,12,18,3,2,5,1
311,2,0,3,1,16,19,5,3,5,3
312,4,0,2,1,10,18,2,3,5,3
313,2,0,1,1,2,18,3,1,3,1
314,2,0,1,1,2,17,1,2,2,2
315,2,0,2,1,8,18,1,2,5,1
316,2,0,2,1,6,17,1,1,3,4
317,2,0,2,1,6,17,5,3,4,2
318,2,0,3,0,15,18,5,1,1,2
319,1,0,4,1,6,18,3,4,4,4
320,2,1,4,1,2,18,4,1,4,4
321,3,0,2,1,8,17,1,1,3,2
322,2,1,3,0,0,19,3,3,3,2
323,1,0,4,1,0,18,1,2,3,3
324,1,0,1,0,10,18,4,4,4,2
325,1,0,4,1,22,17,5,4,4,1
326,1,0,3,1,18,17,3,4,4,2
327,4,0,1,1,2,18,3,1,2,1
328,2,0,1,1,0,18,4,1,4,1
329,2,0,2,1,12,17,5,2,5,2
330,2,0,2,1,10,18,5,1,1,1
331,2,0,1,1,0,17,4,2,3,1
332,3,0,2,1,0,18,2,2,3,2
333,3,0,1,1,0,17,3,1,3,1
334,3,0,2,1,0,18,2,3,4,1
335,2,0,4,1,0,18,2,1,3,4
336,2,0,4,1,2,18,5,4,2,2
337,3,0,4,1,0,17,3,2,2,3
338,4,0,3,1,0,17,3,1,2,1
339,3,0,3,1,0,18,4,1,2,2
340,1,0,3,1,0,17,5,3,3,3
341,2,0,4,1,2,19,2,3,4,4
342,2,0,4,1,0,18,2,2,5,3
343,4,0,4,1,0,18,3,1,3,3
344,1,0,4,1,0,18,1,2,2,4
345,2,0,4,1,0,18,4,1,4,4
346,1,0,4,1,0,17,5,2,1,4
347,3,0,4,1,0,17,5,1,4,4
348,3,0,4,1,0,17,3,1,3,2
349,4,0,3,1,0,17,5,2,2,2
350,3,1,2,1,0,19,5,1,1,1
351,1,2,3,1,0,20,5,1,3,2
352,2,0,3,1,0,19,5,2,3,3
353,2,0,1,1,2,18,5,2,4,4
354,2,0,2,1,2,18,1,2,3,1
355,2,0,2,1,2,17,3,1,1,3
356,1,0,4,1,2,17,5,1,4,4
357,3,0,4,1,2,18,5,1,4,3
358,1,0,4,1,8,18,1,4,4,3
359,3,0,3,1,2,17,5,5,4,4
360,2,0,3,1,8,18,3,1,4,3
361,2,0,4,1,9,19,1,1,4,2
362,2,0,4,1,0,18,5,3,4,4
363,1,0,3,1,4,18,1,1,4,4
364,1,0,4,1,2,17,5,2,4,4
365,2,0,4,1,14,17,5,2,2,3
366,2,0,3,1,0,17,5,1,3,3
367,2,0,2,1,2,17,2,2,3,1
368,1,0,4,1,2,18,5,4,5,4
369,3,0,1,0,12,19,5,3,5,1
370,2,2,1,1,2,19,4,1,4,1
371,1,0,2,1,2,18,5,4,5,2
372,2,0,2,1,4,17,3,1,2,2
373,3,0,2,1,0,17,3,2,2,2
374,3,0,3,1,0,17,5,3,3,1
375,3,0,0,1,0,17,2,3,3,2
376,3,0,1,1,0,18,2,2,5,1
377,3,0,4,1,0,18,3,2,3,4
378,1,0,3,1,0,17,5,5,5,3
379,1,0,2,1,2,17,4,5,5,2
380,3,0,4,1,0,17,4,3,4,4
381,3,0,4,1,4,17,4,2,3,4
382,1,0,3,1,2,17,5,5,5,3
383,4,0,2,1,0,18,5,4,5,2
384,1,0,3,1,0,19,5,2,4,2
385,2,0,2,1,2,18,2,1,5,2
386,3,0,2,1,0,17,5,1,3,4
387,1,0,2,1,6,18,5,2,2,2
388,2,0,3,1,8,18,4,1,4,3
389,2,0,2,1,0,18,2,1,3,2
390,4,0,2,1,6,18,4,1,4,2
391,3,0,3,1,8,17,5,3,5,4
392,2,0,3,1,0,17,2,3,2,2
393,4,0,3,1,4,18,1,1,3,3
394,2,0,3,1,0,17,2,3,3,2
395,2,0,4,1,0,18,2,2,3,4
396,2,0,3,1,6,18,5,3,3,4
397,2,0,2,1,18,17,4,2,1,2
398,3,0,2,1,0,18,3,2,3,3
399,3,0,3,1,4,18,1,3,3,2
400,3,0,4,1,4,18,4,2,2,3
401,3,0,4,1,0,18,5,3,5,3
402,3,0,4,1,0,17,4,3,3,3
403,2,0,2,1,10,17,1,2,4,1
404,2,0,2,1,4,17,4,4,5,1
405,1,1,2,0,16,19,5,4,3,3
406,1,1,3,1,6,17,3,1,2,1
407,3,2,4,1,0,21,5,1,2,4
408,2,0,2,0,11,18,3,3,4,2
409,2,0,3,1,9,18,2,4,5,4
410,2,0,2,1,0,17,4,3,4,2
411,3,0,4,1,2,17,4,2,2,4
412,2,0,4,1,0,18,3,1,2,2
413,2,2,1,0,21,21,4,2,3,1
414,3,0,1,1,8,20,3,3,2,1
415,1,1,4,1,5,19,5,4,5,4
416,2,0,3,1,10,17,5,2,4,2
417,3,0,3,1,5,18,2,2,4,2
418,1,0,2,1,13,18,4,5,3,3
419,1,0,2,1,10,19,4,4,4,1
420,2,0,2,1,10,18,4,3,4,2
421,1,1,1,1,5,20,5,1,1,0
422,2,0,3,1,4,18,1,2,2,2
423,1,0,1,0,11,16,5,3,3,3
424,2,0,2,1,0,16,5,1,4,2
425,1,1,1,1,6,15,2,1,3,1
426,1,0,3,1,4,15,5,3,4,3
427,2,0,2,1,0,16,5,2,2,3
428,1,0,2,0,0,15,1,1,4,1
429,2,0,4,1,5,16,2,3,2,4
430,3,0,1,1,0,16,5,1,3,2
431,2,1,3,1,0,17,5,2,4,2
432,1,1,1,0,0,17,5,2,4,1
433,1,0,4,1,0,15,5,5,1,4
434,4,0,2,0,4,16,1,1,1,2
435,2,0,1,1,0,15,4,2,3,1
436,1,1,1,1,4,15,2,2,3,1
437,1,0,0,1,0,16,2,2,3,2
438,1,0,2,1,2,17,3,3,5,3
439,1,0,3,1,0,15,4,1,3,3
440,2,0,1,1,0,16,3,5,5,1
441,2,0,1,1,4,17,5,4,3,1
442,2,0,4,1,0,15,2,2,4,1
443,2,0,4,1,7,15,2,2,4,1
444,2,0,3,1,4,16,5,2,5,4
445,2,0,1,1,8,15,4,4,5,1
446,2,0,3,1,0,15,5,1,3,3
447,1,0,2,0,8,17,3,5,5,1
448,3,0,4,1,6,16,4,1,2,4
449,1,0,1,1,3,15,1,1,2,2
450,2,0,2,1,2,16,1,2,4,3
451,2,0,1,1,0,16,5,1,3,2
452,2,0,2,1,4,16,4,1,5,2
453,3,1,1,1,0,16,4,2,2,2
454,3,1,1,1,3,16,4,2,2,2
455,2,0,2,1,0,15,2,3,2,1
456,2,0,1,1,0,16,2,1,3,1
457,1,0,1,1,4,17,3,5,5,2
458,4,0,1,1,0,16,1,1,2,1
459,3,0,1,1,2,16,5,1,3,1
460,2,0,1,1,1,15,2,1,3,1
461,1,0,1,1,0,16,2,3,2,1
462,2,0,1,1,0,15,2,2,1,1
463,3,0,2,1,2,15,5,2,3,2
464,1,0,1,1,6,16,5,4,4,1
465,2,1,1,1,9,18,5,3,4,2
466,1,0,3,1,0,15,4,3,3,1
467,2,0,2,1,1,16,2,1,4,2
468,1,0,2,1,1,15,4,2,3,2
469,2,0,4,1,0,16,3,1,1,4
470,2,0,3,1,4,15,1,1,4,3
471,2,1,2,1,2,16,5,3,4,2
472,1,0,2,1,0,16,4,1,2,2
473,1,0,2,1,4,16,4,3,3,1
474,1,0,1,1,2,15,3,5,4,3
475,3,0,2,1,0,15,4,1,2,2
476,1,0,2,1,2,16,5,1,3,1
477,1,0,3,1,11,15,3,4,3,3
478,2,3,1,1,0,16,1,1,3,1
479,1,0,2,0,4,17,5,1,3,2
480,1,1,2,0,0,19,2,1,4,3
481,1,0,2,0,2,17,3,1,3,1
482,1,0,1,0,0,15,4,3,1,1
483,2,0,2,0,1,16,1,2,5,2
484,1,0,2,0,6,16,1,2,4,2
485,2,0,2,1,0,17,4,2,5,2
486,1,1,2,1,1,16,3,4,3,2
487,3,2,3,0,6,18,2,1,2,2
488,3,1,1,0,6,19,3,1,1,1
489,1,1,1,0,0,18,4,4,3,1
490,1,1,1,0,4,18,2,1,3,1
491,2,1,1,1,12,19,1,1,4,1
492,2,0,2,1,2,16,3,1,2,2
493,1,0,0,1,5,17,5,5,4,1
494,2,0,1,0,0,16,3,3,5,2
495,1,0,3,0,0,16,4,1,4,3
496,1,0,1,1,2,16,4,2,4,1
497,4,1,3,1,0,17,5,4,5,3
498,2,0,2,1,0,16,1,1,3,1
499,1,0,2,1,0,16,5,2,5,2
500,1,1,1,0,12,17,1,5,5,2
501,1,0,4,1,8,16,5,5,5,3
502,4,1,2,1,2,17,3,5,5,2
503,4,0,1,1,0,16,5,1,1,1
504,3,0,2,1,0,19,1,1,5,2
505,1,0,1,1,0,17,5,2,5,1
506,2,1,3,1,8,20,3,4,4,3
507,3,0,1,1,0,17,3,1,3,1
508,1,1,2,1,0,17,5,2,5,2
509,2,0,1,1,0,16,1,1,2,1
510,2,0,2,1,0,17,1,1,2,2
511,2,0,1,1,1,17,4,1,5,0
512,2,1,1,1,9,18,5,1,2,1
513,1,0,3,1,0,16,1,3,3,1
514,1,0,3,1,2,16,3,4,3,2
515,2,0,1,1,8,18,3,4,5,1
516,2,0,4,1,0,16,2,3,3,4
517,1,0,1,1,0,16,2,4,5,2
518,2,1,2,1,8,18,1,3,2,4
519,2,0,2,1,0,16,2,1,1,1
520,2,0,1,1,6,16,5,3,2,1
521,2,0,2,1,0,16,2,1,3,3
522,2,0,4,1,4,16,3,2,4,4
523,4,0,4,0,2,18,5,5,5,4
524,2,0,3,1,2,16,2,1,1,4
525,3,0,4,1,0,17,5,2,3,4
526,1,0,4,1,1,17,5,2,3,1
527,3,0,2,1,0,16,3,2,3,2
528,1,0,2,1,5,17,5,2,3,2
529,1,0,4,1,1,16,5,2,3,4
530,1,0,3,1,8,17,3,5,4,3
531,2,0,1,1,0,17,1,3,3,1
532,2,0,2,1,2,16,5,4,2,1
533,2,0,2,1,0,16,3,1,2,1
534,1,0,4,1,0,16,5,5,2,4
535,2,0,1,1,11,15,5,3,5,2
536,4,0,2,1,8,15,5,3,5,2
537,1,0,2,1,11,15,5,2,3,1
538,3,0,2,1,2,16,5,2,3,2
539,2,0,4,1,8,16,1,2,4,1
540,1,0,3,1,5,17,1,2,3,2
541,2,0,2,1,0,17,5,1,3,2
542,3,0,4,1,1,16,5,4,5,4
543,1,3,4,1,2,17,5,3,3,4
544,1,0,1,1,2,17,5,3,2,3
545,2,1,3,1,8,17,5,4,4,4
546,2,0,4,1,0,17,5,1,5,4
547,1,0,4,1,0,16,2,1,2,1
548,2,0,1,1,2,17,3,2,5,1
549,2,0,4,1,0,17,5,3,3,2
550,2,0,2,1,0,16,5,2,2,2
551,2,0,3,1,0,17,1,2,2,2
552,2,2,1,0,2,19,4,4,3,1
553,1,0,1,1,4,17,5,1,2,0
554,1,0,1,0,3,17,4,2,5,1
555,3,0,1,1,5,16,3,1,4,2
556,1,0,1,1,4,16,5,4,4,2
557,2,3,3,1,2,17,5,1,4,1
558,1,0,2,0,0,17,5,5,5,2
559,1,1,1,1,0,18,4,1,2,0
560,1,0,1,1,0,17,2,3,5,1
561,2,0,1,1,6,18,5,4,3,1
562,2,0,2,1,0,16,1,1,3,2
563,1,1,2,1,0,17,5,3,1,2
564,1,0,3,1,2,16,5,3,5,2
565,1,0,1,1,0,16,5,4,5,1
566,1,1,1,0,2,18,5,3,3,1
567,1,1,3,0,0,18,5,2,1,2
568,1,3,3,1,4,19,3,1,1,2
569,2,2,3,0,9,18,3,3,5,3
570,1,0,2,1,6,16,4,4,3,2
571,1,3,2,0,4,19,5,3,3,1
572,2,2,3,1,8,16,1,1,5,2
573,1,0,1,1,9,17,5,2,2,1
574,1,1,1,0,12,20,4,4,3,1
575,1,0,4,1,8,18,2,4,4,3
576,1,0,3,1,8,18,5,5,5,2
577,2,1,1,1,8,19,2,3,4,1
578,2,1,3,1,4,17,3,3,4,3
579,1,0,1,0,0,18,3,3,3,3
580,1,1,1,1,4,19,5,3,4,1
581,2,2,1,1,2,18,5,1,3,2
582,1,0,1,0,0,19,5,1,4,1
583,1,1,2,0,0,18,3,1,5,2
584,1,0,0,1,0,17,5,1,3,0
585,3,0,3,0,5,17,3,2,3,1
586,2,0,4,1,0,17,5,3,5,2
587,2,1,2,1,3,18,4,2,3,2
588,1,0,4,1,0,17,5,1,2,1
589,1,0,1,1,0,17,3,1,1,2
590,2,2,1,1,3,18,5,2,4,1
591,2,0,2,1,2,18,1,1,5,2
592,1,0,3,1,0,17,4,1,3,3
593,2,0,1,1,0,18,4,2,3,2
594,2,0,4,1,0,18,1,2,5,4
595,1,0,4,1,3,18,5,1,5,4
596,2,0,4,1,0,17,4,2,3,2
597,2,1,2,1,0,18,4,1,3,2
598,1,0,1,1,8,18,1,5,4,2
599,1,0,4,1,5,18,1,1,5,4
600,1,0,1,0,4,17,4,4,3,1
601,2,0,2,1,4,18,2,1,1,2
602,3,0,2,1,0,18,3,4,5,2
603,2,0,4,1,0,18,5,1,1,2
604,2,1,1,0,2,18,2,2,2,1
605,1,1,1,0,0,19,2,3,5,1
606,4,0,4,1,0,17,5,1,3,2
607,2,0,2,1,5,17,2,2,3,1
608,2,0,1,1,2,18,3,2,3,1
609,2,0,1,0,0,18,4,1,1,2
610,2,3,1,0,0,19,1,4,4,1
611,3,0,2,1,5,18,4,1,1,2
612,2,1,4,1,4,17,2,3,5,3
613,2,0,3,1,0,18,5,1,4,3
614,2,0,4,1,2,17,5,2,3,4
615,2,0,3,1,0,17,5,2,3,2
616,1,0,1,1,2,18,3,2,2,1
617,3,0,1,1,0,18,4,1,2,1
618,2,0,1,1,0,18,5,4,4,2
619,2,0,3,1,6,18,3,3,2,3
620,2,0,4,1,4,17,1,1,4,4
621,2,0,1,1,0,17,3,2,2,2
622,2,0,1,1,0,18,3,4,4,3
623,3,0,4,1,0,18,5,2,2,4
624,1,1,1,1,0,17,1,2,1,1
625,1,0,2,1,0,18,4,2,3,3
626,2,0,4,1,0,18,5,2,2,4
627,1,0,1,0,3,18,3,3,3,2
628,3,0,2,1,8,17,3,1,3,2
629,1,0,1,1,4,17,1,3,5,2
630,3,0,4,1,0,18,1,1,4,4
631,3,0,1,1,4,18,4,2,2,1
632,2,1,1,1,4,19,3,1,3,1
