,Medu,health,Walc,Mjob,absences,studytime,age,Fedu,reason,goout
232,4,2,3,0,14,2,17,4,2,5
233,4,1,4,1,2,2,16,4,2,4
234,1,5,1,4,18,2,16,1,1,2
235,3,2,3,3,10,3,16,2,2,3
236,2,4,5,4,4,2,17,2,1,2
237,2,5,1,4,20,1,16,1,1,2
238,2,3,1,3,2,2,17,1,0,1
239,2,2,5,4,0,2,18,2,2,4
240,4,5,4,1,14,2,17,3,0,5
241,4,4,3,0,2,2,17,4,0,3
242,4,3,1,0,0,1,16,3,0,5
243,4,5,2,2,0,1,16,4,0,2
244,2,3,1,4,0,3,18,1,0,4
245,2,4,1,4,6,1,16,1,0,3
246,2,2,1,4,4,1,17,3,0,2
247,3,1,5,2,16,1,22,1,3,5
248,3,5,3,4,8,2,18,3,0,3
249,0,5,4,4,0,1,16,2,3,2
250,3,5,4,2,0,1,18,2,0,5
251,3,2,3,3,6,2,16,3,2,3
252,2,5,5,2,4,1,18,1,3,5
253,2,3,3,4,0,1,16,1,0,2
254,2,5,4,4,0,1,17,1,0,2
255,1,5,2,1,2,1,17,1,0,4
256,4,4,1,0,6,4,17,2,2,3
257,4,1,1,2,12,2,19,3,2,1
258,2,4,2,4,8,2,18,1,1,4
259,2,2,1,2,0,4,17,2,0,1
260,4,2,3,2,21,2,18,3,1,2
261,4,3,1,0,2,2,18,3,0,2
262,3,3,1,4,1,3,18,2,0,2
263,3,4,1,4,4,3,17,3,1,3
264,2,3,1,3,0,3,18,2,1,3
265,3,1,4,4,13,2,18,4,2,5
266,3,5,4,2,2,2,17,1,3,4
267,4,4,2,0,8,2,18,4,2,4
268,4,5,3,1,10,2,18,2,2,5
269,2,3,2,4,0,2,18,1,2,5
270,3,5,3,4,15,2,19,3,1,5
271,2,2,3,4,4,4,18,3,2,5
272,1,3,1,4,2,2,18,1,1,3
273,1,1,2,3,2,2,17,2,1,2
274,2,1,1,3,2,2,17,4,2,3
275,2,5,3,2,6,2,17,2,0,4
276,3,5,1,4,75,2,18,2,1,1
277,4,3,4,0,22,1,18,4,1,4
278,4,4,1,1,15,2,18,4,2,4
279,4,1,2,0,8,1,18,3,0,3
280,4,5,4,2,30,1,17,1,1,4
281,3,3,4,0,19,1,17,2,1,4
282,1,3,1,3,1,4,18,1,2,2
283,1,4,1,4,4,2,18,1,1,4
284,2,5,2,4,4,2,17,2,0,5
285,1,4,2,4,2,2,17,1,2,3
286,2,2,2,3,5,3,18,2,3,3
287,1,3,1,2,6,3,17,1,2,3
288,2,2,3,2,6,3,18,1,2,4
289,4,2,1,0,9,2,18,4,2,3
290,4,5,4,0,11,2,18,2,1,2
291,4,3,2,1,0,3,17,3,2,2
292,2,5,1,2,12,2,18,1,2,3
293,3,3,1,2,6,4,17,1,2,2
294,3,4,1,2,8,3,18,2,2,2
295,3,5,3,1,4,1,17,3,1,3
296,4,2,3,1,0,2,19,4,2,4
297,4,2,2,4,10,2,18,3,1,5
298,4,3,1,4,0,4,18,3,2,3
299,4,1,2,0,5,1,18,4,1,2
300,4,4,1,1,14,2,18,4,1,4
301,4,5,2,4,0,1,17,4,1,1
302,4,3,1,4,0,3,17,2,2,3
303,3,5,2,1,0,4,17,2,2,2
304,3,3,1,4,20,2,19,3,1,4
305,2,3,1,2,8,2,18,4,2,3
306,3,5,1,2,0,1,20,2,0,3
307,4,4,1,0,38,1,19,4,2,4
308,3,5,2,4,0,2,19,3,2,3
309,1,3,3,3,18,2,19,1,2,3
310,1,3,2,2,0,2,19,2,1,4
311,2,2,1,3,20,2,19,1,3,1
312,1,4,2,4,3,2,19,2,0,2
313,3,1,2,2,22,2,19,2,2,2
314,1,3,1,3,14,3,19,1,1,2
315,2,3,1,4,40,3,19,3,2,2
316,2,1,2,2,0,2,18,1,0,3
317,4,5,1,4,9,3,18,3,0,4
318,3,5,5,3,0,3,17,4,0,4
319,4,5,3,0,2,2,18,4,0,4
320,4,5,2,2,23,2,17,3,0,2
321,2,3,1,4,12,2,17,2,0,2
322,2,3,2,2,3,3,17,2,0,2
323,3,5,3,2,1,3,17,1,0,3
324,0,2,3,3,0,3,17,2,1,3
325,4,3,2,4,3,3,18,4,0,3
326,3,5,5,4,3,1,17,3,2,5
327,2,4,5,2,8,1,17,2,0,5
328,4,4,3,0,7,3,17,4,0,4
329,4,4,2,0,4,3,17,4,0,3
330,2,5,4,4,2,4,18,2,0,5
331,2,5,1,3,7,3,17,4,0,3
332,3,4,1,2,0,2,18,3,1,4
333,2,2,1,4,0,2,18,2,1,3
334,2,4,1,3,0,4,18,2,0,4
335,3,5,3,2,16,3,17,4,0,5
336,3,5,2,2,12,3,19,1,1,3
337,3,2,3,4,0,2,17,2,1,2
338,3,1,1,2,7,4,18,3,1,3
339,3,2,3,4,4,2,17,2,1,3
340,2,3,3,2,4,3,19,1,1,4
341,4,2,2,0,0,2,18,4,1,3
342,3,5,3,2,11,2,18,4,1,3
343,2,4,2,3,0,2,17,2,1,1
344,2,3,2,3,4,3,18,3,0,3
345,3,1,3,4,7,3,18,2,3,3
346,4,4,2,0,9,3,18,3,0,2
347,4,5,3,0,0,3,18,3,0,5
348,4,4,3,1,0,3,17,3,2,3
349,3,5,5,4,10,1,18,2,0,5
350,1,2,3,4,8,2,19,1,1,4
351,3,3,3,1,2,2,17,3,0,4
352,1,3,3,3,7,1,18,3,0,3
353,1,5,3,4,4,1,19,1,1,4
354,4,2,3,2,4,2,17,3,1,5
355,3,5,1,2,0,2,18,3,0,4
356,4,5,2,0,4,2,17,4,3,3
357,3,5,2,2,2,2,17,2,2,3
358,1,3,2,4,4,1,18,1,1,2
359,1,4,1,3,0,3,18,1,0,2
360,1,5,4,3,0,2,18,4,0,4
361,1,5,3,3,2,2,18,1,3,3
362,3,3,3,2,0,2,18,3,3,2
363,4,1,1,3,0,2,17,4,0,4
364,1,3,2,4,0,2,17,2,0,2
365,1,3,4,3,4,2,18,3,0,4
366,4,5,2,0,0,3,18,4,3,2
367,1,1,2,4,0,1,17,1,2,1
368,2,4,2,3,0,1,18,3,0,3
369,4,5,2,4,10,2,18,4,3,2
370,3,3,1,2,4,2,19,2,1,2
371,1,3,3,3,3,1,18,2,3,3
372,2,3,1,4,8,3,17,2,1,3
373,1,1,3,4,14,1,17,2,0,5
374,4,1,1,4,0,3,18,4,2,4
375,1,4,2,4,2,3,18,1,1,2
376,4,3,1,1,4,3,20,2,0,3
377,4,2,4,0,4,2,18,4,0,3
378,3,1,2,4,0,2,18,3,1,3
379,3,1,3,3,17,2,17,1,2,4
380,4,2,4,0,4,2,18,4,1,4
381,2,5,3,4,5,1,18,1,3,3
382,2,3,1,4,2,2,17,3,1,3
383,1,5,3,4,0,1,19,1,3,2
384,4,3,3,4,14,1,18,2,1,3
385,2,4,3,3,2,3,18,2,3,3
386,4,5,2,0,7,1,18,4,2,3
387,2,5,2,2,0,3,19,3,0,2
388,3,1,1,0,0,2,18,1,0,4
389,1,5,1,4,0,2,18,1,0,1
390,2,4,5,2,11,2,20,2,0,4
391,3,2,4,2,3,1,17,1,0,5
392,1,3,3,4,3,1,21,1,0,3
393,3,5,4,2,0,1,18,2,0,1
394,1,5,3,4,5,1,19,1,0,3
